round,test_loss,test_accuracy
0,2.3133392051696777,0.1267
1,1.2714005264282227,0.6111
2,0.7743762325286865,0.7879
3,0.5885342700481415,0.838
4,0.5004301969051361,0.8616
5,0.4532060631275177,0.872
6,0.42457511739730835,0.8776
7,0.3958417507410049,0.887
8,0.3755167372226715,0.8936
9,0.36907040662765506,0.8932
10,0.35976894295215606,0.8953
11,0.3462309351682663,0.899
12,0.3399695221185684,0.9018
13,0.33581157066822054,0.9028
14,0.33147580205202104,0.9027
15,0.3296453288555145,0.9042
16,0.3177169050693512,0.907
17,0.31274796808958055,0.9085
18,0.3100566125869751,0.91
19,0.30540052491426467,0.9125
20,0.30228292523622513,0.9126
