alpha,min_client_size,max_client_size,mean_client_size,std_client_size,max_min_size_ratio
10.0,9680,12864,12000.0,1185.8249449223101,1.3289256198347108
1.0,9256,14577,12000.0,1731.0419983351069,1.5748703543647364
0.5,6255,17169,12000.0,3853.3915451197013,2.74484412470024
0.1,8102,21164,12000.0,4954.375157373531,2.6121945198716365
