round,test_loss,test_accuracy,mu,alpha,local_epochs,runtime_seconds
0,2.3133392051696777,0.1267,0.1,0.1,5,1259.8805688920002
1,1.588682384109497,0.427,0.1,0.1,5,1259.8805688920002
2,1.0963753650665282,0.6346,0.1,0.1,5,1259.8805688920002
3,0.8508660854339599,0.7141,0.1,0.1,5,1259.8805688920002
4,0.7025953753471375,0.765,0.1,0.1,5,1259.8805688920002
5,0.591053062915802,0.8115,0.1,0.1,5,1259.8805688920002
6,0.5650357314109802,0.8159,0.1,0.1,5,1259.8805688920002
7,0.5007086063861846,0.8439,0.1,0.1,5,1259.8805688920002
8,0.46642122254371643,0.8544,0.1,0.1,5,1259.8805688920002
9,0.4576174618959427,0.8553,0.1,0.1,5,1259.8805688920002
10,0.4418776104450226,0.8583,0.1,0.1,5,1259.8805688920002
11,0.45977184433937074,0.8486,0.1,0.1,5,1259.8805688920002
12,0.4352034054756165,0.8579,0.1,0.1,5,1259.8805688920002
13,0.4320223556280136,0.8587,0.1,0.1,5,1259.8805688920002
14,0.4165778940677643,0.867,0.1,0.1,5,1259.8805688920002
15,0.4067192154407501,0.8698,0.1,0.1,5,1259.8805688920002
16,0.40895584173202515,0.8674,0.1,0.1,5,1259.8805688920002
17,0.40382825932502747,0.8696,0.1,0.1,5,1259.8805688920002
18,0.3885992594003677,0.8735,0.1,0.1,5,1259.8805688920002
19,0.3898900413990021,0.8736,0.1,0.1,5,1259.8805688920002
20,0.40557142205238345,0.8672,0.1,0.1,5,1259.8805688920002
