round,test_loss,test_accuracy,mu,alpha,local_epochs,runtime_seconds
0,2.3133392051696777,0.1267,1.0,0.1,5,1266.7424247379995
1,1.9359769020080566,0.2531,1.0,0.1,5,1266.7424247379995
2,1.5824882469177246,0.5086,1.0,0.1,5,1266.7424247379995
3,1.3077414892196655,0.6063,1.0,0.1,5,1266.7424247379995
4,1.0987500105857848,0.6764,1.0,0.1,5,1266.7424247379995
5,0.9554995916366578,0.7211,1.0,0.1,5,1266.7424247379995
6,0.8837888143539429,0.7313,1.0,0.1,5,1266.7424247379995
7,0.7789057315826416,0.7859,1.0,0.1,5,1266.7424247379995
8,0.7107143829345703,0.8081,1.0,0.1,5,1266.7424247379995
9,0.669751394367218,0.8198,1.0,0.1,5,1266.7424247379995
10,0.6374452050209045,0.8214,1.0,0.1,5,1266.7424247379995
11,0.6315488921165466,0.8078,1.0,0.1,5,1266.7424247379995
12,0.591395495223999,0.8258,1.0,0.1,5,1266.7424247379995
13,0.5733922151565551,0.8288,1.0,0.1,5,1266.7424247379995
14,0.5400742954730987,0.8488,1.0,0.1,5,1266.7424247379995
15,0.5345002708911896,0.8433,1.0,0.1,5,1266.7424247379995
16,0.5154858946800231,0.8497,1.0,0.1,5,1266.7424247379995
17,0.49847352714538573,0.857,1.0,0.1,5,1266.7424247379995
18,0.48292810888290405,0.8608,1.0,0.1,5,1266.7424247379995
19,0.4877397642612457,0.8548,1.0,0.1,5,1266.7424247379995
20,0.50657301030159,0.8373,1.0,0.1,5,1266.7424247379995
