mu,round,local_epochs,client_i,client_j,cosine_similarity
0.0,15,5,0,4,0.0720972791314125
0.0,15,5,1,2,0.3019193708896637
0.0,15,5,1,3,-0.3329053223133087
0.0,15,5,1,4,-0.08939193189144135
0.0,15,5,2,3,-0.3681088089942932
0.0,15,5,2,4,0.1630866527557373
0.0,15,5,3,4,-0.19576528668403625
0.0,16,5,0,1,0.10251740366220474
0.0,16,5,0,2,-0.13011544942855835
0.0,16,5,0,3,-0.2065991312265396
0.0,16,5,0,4,0.0756833627820015
0.0,16,5,1,2,0.31177306175231934
0.0,16,5,1,3,-0.358722448348999
0.0,16,5,1,4,-0.10810093581676483
0.0,16,5,2,3,-0.3562690317630768
0.0,16,5,2,4,0.10397122800350189
0.0,16,5,3,4,-0.16863268613815308
0.0,17,5,0,1,0.1083817258477211
0.0,17,5,0,2,-0.14162014424800873
0.0,17,5,0,3,-0.2056441605091095
0.0,17,5,0,4,0.062493424862623215
0.0,17,5,1,2,0.292283833026886
0.0,17,5,1,3,-0.34875163435935974
0.0,17,5,1,4,-0.10781656950712204
0.0,17,5,2,3,-0.37659621238708496
0.0,17,5,2,4,0.13196176290512085
0.0,17,5,3,4,-0.1779804527759552
0.0,18,5,0,1,0.10574834793806076
0.0,18,5,0,2,-0.14016354084014893
0.0,18,5,0,3,-0.20896880328655243
0.0,18,5,0,4,0.06423552334308624
0.0,18,5,1,2,0.29439690709114075
0.0,18,5,1,3,-0.3553638756275177
0.0,18,5,1,4,-0.10997600108385086
0.0,18,5,2,3,-0.38075247406959534
0.0,18,5,2,4,0.11058367043733597
0.0,18,5,3,4,-0.1795661598443985
0.0,19,5,0,1,0.10887082666158676
0.0,19,5,0,2,-0.14965957403182983
0.0,19,5,0,3,-0.21733631193637848
0.0,19,5,0,4,0.054041847586631775
0.0,19,5,1,2,0.2995699346065521
0.0,19,5,1,3,-0.36405572295188904
0.0,19,5,1,4,-0.07743646949529648
0.0,19,5,2,3,-0.3829852342605591
0.0,19,5,2,4,0.1294422149658203
0.0,19,5,3,4,-0.20736420154571533
0.0,20,5,0,1,0.1050691306591034
0.0,20,5,0,2,-0.17235711216926575
0.0,20,5,0,3,-0.22122833132743835
0.0,20,5,0,4,0.050229769200086594
0.0,20,5,1,2,0.30063703656196594
0.0,20,5,1,3,-0.369975209236145
0.0,20,5,1,4,-0.10557567328214645
0.0,20,5,2,3,-0.35645222663879395
0.0,20,5,2,4,0.06055738031864166
0.0,20,5,3,4,-0.18209679424762726
0.1,1,5,0,1,0.2213619500398636
0.1,1,5,0,2,0.06824298202991486
0.1,1,5,0,3,0.2080179899930954
0.1,1,5,0,4,0.32416650652885437
0.1,1,5,1,2,0.68463534116745
0.1,1,5,1,3,0.21099840104579926
0.1,1,5,1,4,0.22945667803287506
0.1,1,5,2,3,0.18728354573249817
0.1,1,5,2,4,0.4104399085044861
0.1,1,5,3,4,0.40834009647369385
0.1,2,5,0,1,0.26419833302497864
0.1,2,5,0,2,0.07251928001642227
0.1,2,5,0,3,0.18065997958183289
0.1,2,5,0,4,0.3870830535888672
0.1,2,5,1,2,0.7015575170516968
0.1,2,5,1,3,0.19070276618003845
0.1,2,5,1,4,0.28173238039016724
0.1,2,5,2,3,0.15863798558712006
0.1,2,5,2,4,0.4874008297920227
0.1,2,5,3,4,0.4108448326587677
0.1,3,5,0,1,0.2536435127258301
0.1,3,5,0,2,0.03837784007191658
0.1,3,5,0,3,0.08932428807020187
0.1,3,5,0,4,0.344290554523468
0.1,3,5,1,2,0.6391395926475525
0.1,3,5,1,3,0.0831284373998642
0.1,3,5,1,4,0.19162632524967194
0.1,3,5,2,3,0.041001494973897934
0.1,3,5,2,4,0.4053538143634796
0.1,3,5,3,4,0.29204997420310974
0.1,4,5,0,1,0.2271154373884201
0.1,4,5,0,2,0.010097337886691093
0.1,4,5,0,3,0.016674363985657692
0.1,4,5,0,4,0.29616403579711914
0.1,4,5,1,2,0.5795221924781799
0.1,4,5,1,3,-0.023637913167476654
0.1,4,5,1,4,0.11682401597499847
0.1,4,5,2,3,-0.07266312092542648
0.1,4,5,2,4,0.3353618383407593
0.1,4,5,3,4,0.16815654933452606
0.1,5,5,0,1,0.24325840175151825
0.1,5,5,0,2,-0.02294200472533703
0.1,5,5,0,3,-0.04627508297562599
0.1,5,5,0,4,0.2464253455400467
0.1,5,5,1,2,0.5050358772277832
0.1,5,5,1,3,-0.10319297760725021
0.1,5,5,1,4,0.045222505927085876
0.1,5,5,2,3,-0.1498914361000061
0.1,5,5,2,4,0.28037503361701965
0.1,5,5,3,4,0.060656651854515076
0.1,6,5,0,1,0.19180582463741302
0.1,6,5,0,2,-0.06026560813188553
0.1,6,5,0,3,-0.08933747559785843
0.1,6,5,0,4,0.1902201920747757
0.1,6,5,1,2,0.4767860770225525
0.1,6,5,1,3,-0.18071068823337555
0.1,6,5,1,4,0.0074585299007594585
0.1,6,5,2,3,-0.2218061238527298
0.1,6,5,2,4,0.2555338144302368
0.1,6,5,3,4,-0.017474014312028885
0.1,7,5,0,1,0.17767205834388733
0.1,7,5,0,2,-0.08885293453931808
0.1,7,5,0,3,-0.1006917729973793
0.1,7,5,0,4,0.16185353696346283
0.1,7,5,1,2,0.4218018651008606
0.1,7,5,1,3,-0.24361388385295868
