mu,round,local_epochs,client_id,update_magnitude
0.0,1,5,0,1.5755972862243652
0.0,1,5,1,2.011838674545288
0.0,1,5,2,2.258655071258545
0.0,1,5,3,2.685701370239258
0.0,1,5,4,1.617811918258667
0.0,2,5,0,1.1088274717330933
0.0,2,5,1,1.3051682710647583
0.0,2,5,2,1.4376981258392334
0.0,2,5,3,1.59926176071167
0.0,2,5,4,1.0094114542007446
0.0,3,5,0,0.8720117211341858
0.0,3,5,1,0.9336511492729187
0.0,3,5,2,1.0087087154388428
0.0,3,5,3,1.0689884424209595
0.0,3,5,4,0.6763284206390381
0.0,4,5,0,0.7517509460449219
0.0,4,5,1,0.7538663744926453
0.0,4,5,2,0.8196939826011658
0.0,4,5,3,0.8363827466964722
0.0,4,5,4,0.5452566742897034
0.0,5,5,0,0.6780006289482117
0.0,5,5,1,0.6715443134307861
0.0,5,5,2,0.7179636359214783
0.0,5,5,3,0.7084402441978455
0.0,5,5,4,0.4893060326576233
0.0,6,5,0,0.6262437105178833
0.0,6,5,1,0.6095201969146729
0.0,6,5,2,0.6620581746101379
0.0,6,5,3,0.6492830514907837
0.0,6,5,4,0.4658568203449249
0.0,7,5,0,0.5951106548309326
0.0,7,5,1,0.5790135264396667
0.0,7,5,2,0.620528519153595
0.0,7,5,3,0.6053433418273926
0.0,7,5,4,0.43802616000175476
0.0,8,5,0,0.5686184763908386
0.0,8,5,1,0.5471357107162476
0.0,8,5,2,0.5957137942314148
0.0,8,5,3,0.571107804775238
0.0,8,5,4,0.43101757764816284
0.0,9,5,0,0.5493233799934387
0.0,9,5,1,0.5374784469604492
0.0,9,5,2,0.5829139947891235
0.0,9,5,3,0.5471515655517578
0.0,9,5,4,0.4174792766571045
0.0,10,5,0,0.5371466875076294
0.0,10,5,1,0.5234001874923706
0.0,10,5,2,0.5657352805137634
0.0,10,5,3,0.5348929762840271
0.0,10,5,4,0.4078071117401123
0.0,11,5,0,0.5255102515220642
0.0,11,5,1,0.5160402059555054
0.0,11,5,2,0.557878851890564
0.0,11,5,3,0.5170335173606873
0.0,11,5,4,0.40219271183013916
0.0,12,5,0,0.5199818015098572
0.0,12,5,1,0.4982343018054962
0.0,12,5,2,0.5479013919830322
0.0,12,5,3,0.5072910189628601
0.0,12,5,4,0.4004846215248108
0.0,13,5,0,0.5160889625549316
0.0,13,5,1,0.48840001225471497
0.0,13,5,2,0.5355260372161865
0.0,13,5,3,0.4927898049354553
0.0,13,5,4,0.3925548195838928
0.0,14,5,0,0.5059891939163208
0.0,14,5,1,0.48315584659576416
0.0,14,5,2,0.5299582481384277
0.0,14,5,3,0.4829557538032532
0.0,14,5,4,0.38863638043403625
0.0,15,5,0,0.4995671212673187
0.0,15,5,1,0.47607526183128357
0.0,15,5,2,0.5211918354034424
0.0,15,5,3,0.470237135887146
0.0,15,5,4,0.38719263672828674
0.0,16,5,0,0.49151819944381714
0.0,16,5,1,0.47819823026657104
0.0,16,5,2,0.5108039379119873
0.0,16,5,3,0.46462056040763855
0.0,16,5,4,0.3784446120262146
0.0,17,5,0,0.4898298978805542
0.0,17,5,1,0.4690670669078827
0.0,17,5,2,0.5023349523544312
0.0,17,5,3,0.45586687326431274
0.0,17,5,4,0.3771325349807739
0.0,18,5,0,0.4830590784549713
0.0,18,5,1,0.46300482749938965
0.0,18,5,2,0.501792848110199
0.0,18,5,3,0.4444751739501953
0.0,18,5,4,0.3715803325176239
0.0,19,5,0,0.48481613397598267
0.0,19,5,1,0.45589587092399597
0.0,19,5,2,0.49312981963157654
0.0,19,5,3,0.43849802017211914
0.0,19,5,4,0.37271010875701904
0.0,20,5,0,0.4805675446987152
0.0,20,5,1,0.4536776542663574
0.0,20,5,2,0.48152270913124084
0.0,20,5,3,0.43365591764450073
0.0,20,5,4,0.36530837416648865
0.1,1,5,0,1.3113433122634888
0.1,1,5,1,1.6306339502334595
0.1,1,5,2,1.7144734859466553
0.1,1,5,3,1.8505983352661133
0.1,1,5,4,1.3206820487976074
0.1,2,5,0,0.979003369808197
0.1,2,5,1,1.153013825416565
0.1,2,5,2,1.1807634830474854
0.1,2,5,3,1.218186378479004
0.1,2,5,4,0.9362878799438477
0.1,3,5,0,0.7803648114204407
0.1,3,5,1,0.8573583960533142
0.1,3,5,2,0.8598584532737732
0.1,3,5,3,0.8721513748168945
0.1,3,5,4,0.6632695198059082
0.1,4,5,0,0.6688993573188782
0.1,4,5,1,0.6864321231842041
0.1,4,5,2,0.6911931037902832
0.1,4,5,3,0.6850714087486267
0.1,4,5,4,0.5226303935050964
0.1,5,5,0,0.5979264378547668
0.1,5,5,1,0.5957260131835938
0.1,5,5,2,0.5918634533882141
0.1,5,5,3,0.5677499771118164
0.1,5,5,4,0.45091888308525085
0.1,6,5,0,0.5432822704315186
0.1,6,5,1,0.5251642465591431
0.1,6,5,2,0.530189037322998
0.1,6,5,3,0.509915292263031
0.1,6,5,4,0.41455355286598206
0.1,7,5,0,0.511421263217926
0.1,7,5,1,0.4900117516517639
0.1,7,5,2,0.4859001040458679
0.1,7,5,3,0.4668300449848175
0.1,7,5,4,0.37993356585502625
0.1,8,5,0,0.4805334806442261
0.1,8,5,1,0.45671820640563965
0.1,8,5,2,0.4523136019706726
0.1,8,5,3,0.4349680542945862
0.1,8,5,4,0.36812442541122437
0.1,9,5,0,0.45799553394317627
0.1,9,5,1,0.4459497034549713
0.1,9,5,2,0.4410923719406128
0.1,9,5,3,0.4106772840023041
0.1,9,5,4,0.352919340133667
0.1,10,5,0,0.4432736337184906
0.1,10,5,1,0.42964085936546326
0.1,10,5,2,0.42559564113616943
0.1,10,5,3,0.3982809782028198
0.1,10,5,4,0.3432003855705261
0.1,11,5,0,0.43232640624046326
0.1,11,5,1,0.41994360089302063
0.1,11,5,2,0.4177161455154419
0.1,11,5,3,0.3817799985408783
0.1,11,5,4,0.3357505798339844
0.1,12,5,0,0.4288095235824585
0.1,12,5,1,0.40549466013908386
0.1,12,5,2,0.4139331877231598
0.1,12,5,3,0.37506529688835144
0.1,12,5,4,0.33420488238334656
0.1,13,5,0,0.4249356687068939
0.1,13,5,1,0.3964429497718811
0.1,13,5,2,0.4035775661468506
0.1,13,5,3,0.3583446741104126
0.1,13,5,4,0.32730531692504883
0.1,14,5,0,0.4146857261657715
0.1,14,5,1,0.3902805745601654
0.1,14,5,2,0.40042784810066223
0.1,14,5,3,0.3543529808521271
0.1,14,5,4,0.32326027750968933
0.1,15,5,0,0.4060150682926178
0.1,15,5,1,0.3837055265903473
0.1,15,5,2,0.3944060206413269
0.1,15,5,3,0.34380215406417847
0.1,15,5,4,0.3246692717075348
0.1,16,5,0,0.403290718793869
0.1,16,5,1,0.3883098363876343
0.1,16,5,2,0.3881324827671051
0.1,16,5,3,0.34389743208885193
0.1,16,5,4,0.31541040539741516
0.1,17,5,0,0.39956995844841003
0.1,17,5,1,0.37763500213623047
0.1,17,5,2,0.3838465213775635
0.1,17,5,3,0.3373374044895172
0.1,17,5,4,0.31602784991264343
0.1,18,5,0,0.39246252179145813
0.1,18,5,1,0.37284669280052185
0.1,18,5,2,0.3851207196712494
0.1,18,5,3,0.3322497308254242
0.1,18,5,4,0.3109597861766815
0.1,19,5,0,0.3956770896911621
0.1,19,5,1,0.3682903051376343
0.1,19,5,2,0.380781352519989
0.1,19,5,3,0.3265823423862457
0.1,19,5,4,0.31349611282348633
0.1,20,5,0,0.39417868852615356
0.1,20,5,1,0.36656126379966736
0.1,20,5,2,0.37510040402412415
0.1,20,5,3,0.3220416009426117
0.1,20,5,4,0.30651551485061646
1.0,1,5,0,0.7387745380401611
1.0,1,5,1,0.8347240686416626
1.0,1,5,2,0.8565577864646912
1.0,1,5,3,0.9003371596336365
1.0,1,5,4,0.700822651386261
1.0,2,5,0,0.6139224171638489
1.0,2,5,1,0.6691858172416687
1.0,2,5,2,0.6759532690048218
1.0,2,5,3,0.6933326125144958
1.0,2,5,4,0.5521650910377502
1.0,3,5,0,0.5260677933692932
1.0,3,5,1,0.5518072843551636
1.0,3,5,2,0.5577669739723206
1.0,3,5,3,0.561432421207428
1.0,3,5,4,0.4491567015647888
1.0,4,5,0,0.4708644449710846
1.0,4,5,1,0.46358829736709595
1.0,4,5,2,0.4721086323261261
1.0,4,5,3,0.46460196375846863
1.0,4,5,4,0.38173121213912964
1.0,5,5,0,0.4323268234729767
1.0,5,5,1,0.41295096278190613
1.0,5,5,2,0.41565752029418945
1.0,5,5,3,0.3892846703529358
1.0,5,5,4,0.3332602083683014
1.0,6,5,0,0.3891103267669678
1.0,6,5,1,0.36164113879203796
1.0,6,5,2,0.36770856380462646
1.0,6,5,3,0.34749850630760193
1.0,6,5,4,0.30489382147789
1.0,7,5,0,0.3691422641277313
1.0,7,5,1,0.33001479506492615
1.0,7,5,2,0.3267904222011566
1.0,7,5,3,0.31455478072166443
1.0,7,5,4,0.2768042981624603
1.0,8,5,0,0.3438257873058319
1.0,8,5,1,0.3012736141681671
1.0,8,5,2,0.30015337467193604
1.0,8,5,3,0.28844740986824036
1.0,8,5,4,0.25702446699142456
1.0,9,5,0,0.3236957788467407
1.0,9,5,1,0.2903491258621216
1.0,9,5,2,0.28832632303237915
1.0,9,5,3,0.26425841450691223
1.0,9,5,4,0.24057553708553314
1.0,10,5,0,0.31118282675743103
1.0,10,5,1,0.26588472723960876
1.0,10,5,2,0.265092134475708
1.0,10,5,3,0.25453323125839233
1.0,10,5,4,0.22964757680892944
1.0,11,5,0,0.2971644997596741
1.0,11,5,1,0.2592621445655823
1.0,11,5,2,0.2605779767036438
1.0,11,5,3,0.23958949744701385
1.0,11,5,4,0.2200440615415573
