mu,round,local_epochs,client_id,aggregate_alignment
0.0,1,5,0,0.3916502594947815
0.0,1,5,1,0.6175603866577148
0.0,1,5,2,0.6514853835105896
0.0,1,5,3,0.8201692700386047
0.0,1,5,4,0.6356790661811829
0.0,2,5,0,0.4041220545768738
0.0,2,5,1,0.6308900117874146
0.0,2,5,2,0.6547488570213318
0.0,2,5,3,0.7717992663383484
0.0,2,5,4,0.6620270013809204
0.0,3,5,0,0.3657359182834625
0.0,3,5,1,0.5583393573760986
0.0,3,5,2,0.589515209197998
0.0,3,5,3,0.6878678798675537
0.0,3,5,4,0.5277771949768066
0.0,4,5,0,0.3424305319786072
0.0,4,5,1,0.4925450086593628
0.0,4,5,2,0.5402340888977051
0.0,4,5,3,0.6166546940803528
0.0,4,5,4,0.4257575273513794
0.0,5,5,0,0.3270951509475708
0.0,5,5,1,0.4552619755268097
0.0,5,5,2,0.5100247263908386
0.0,5,5,3,0.5595030188560486
0.0,5,5,4,0.343453973531723
0.0,6,5,0,0.27918896079063416
0.0,6,5,1,0.4098304808139801
0.0,6,5,2,0.4914456307888031
0.0,6,5,3,0.5373252630233765
0.0,6,5,4,0.2960340678691864
0.0,7,5,0,0.272368460893631
0.0,7,5,1,0.3665519058704376
0.0,7,5,2,0.4731774926185608
0.0,7,5,3,0.5216134190559387
0.0,7,5,4,0.2647353410720825
0.0,8,5,0,0.24737510085105896
0.0,8,5,1,0.3445846140384674
0.0,8,5,2,0.4757020175457001
0.0,8,5,3,0.5057175755500793
0.0,8,5,4,0.2611233592033386
0.0,9,5,0,0.23821669816970825
0.0,9,5,1,0.3498271405696869
0.0,9,5,2,0.46625909209251404
0.0,9,5,3,0.4874943196773529
0.0,9,5,4,0.23666299879550934
0.0,10,5,0,0.2231806218624115
0.0,10,5,1,0.32010871171951294
0.0,10,5,2,0.4617724120616913
0.0,10,5,3,0.4816882908344269
0.0,10,5,4,0.22788628935813904
0.0,11,5,0,0.22206102311611176
0.0,11,5,1,0.33824270963668823
0.0,11,5,2,0.4587746858596802
0.0,11,5,3,0.4682624936103821
0.0,11,5,4,0.21051301062107086
0.0,12,5,0,0.20231926441192627
0.0,12,5,1,0.30365437269210815
0.0,12,5,2,0.4532526433467865
0.0,12,5,3,0.4701178967952728
0.0,12,5,4,0.21006198227405548
0.0,13,5,0,0.21412301063537598
0.0,13,5,1,0.3089158535003662
0.0,13,5,2,0.4426203966140747
0.0,13,5,3,0.4644320011138916
0.0,13,5,4,0.2020672857761383
0.0,14,5,0,0.1944914311170578
0.0,14,5,1,0.3069523572921753
0.0,14,5,2,0.44414231181144714
0.0,14,5,3,0.45734742283821106
0.0,14,5,4,0.20191647112369537
0.0,15,5,0,0.21004292368888855
0.0,15,5,1,0.30576613545417786
0.0,15,5,2,0.4459663927555084
0.0,15,5,3,0.43863335251808167
0.0,15,5,4,0.21761484444141388
0.0,16,5,0,0.19229575991630554
0.0,16,5,1,0.29362091422080994
0.0,16,5,2,0.43854600191116333
0.0,16,5,3,0.447967529296875
0.0,16,5,4,0.19627463817596436
0.0,17,5,0,0.1929403692483902
0.0,17,5,1,0.29700610041618347
0.0,17,5,2,0.4207109212875366
0.0,17,5,3,0.43878182768821716
0.0,17,5,4,0.20877572894096375
0.0,18,5,0,0.19364921748638153
0.0,18,5,1,0.3009554445743561
0.0,18,5,2,0.43012577295303345
0.0,18,5,3,0.4218328297138214
0.0,18,5,4,0.19749990105628967
0.0,19,5,0,0.1867755949497223
0.0,19,5,1,0.3095698654651642
0.0,19,5,2,0.43302595615386963
0.0,19,5,3,0.406775563955307
0.0,19,5,4,0.20041672885417938
0.0,20,5,0,0.1680082231760025
0.0,20,5,1,0.2965339422225952
0.0,20,5,2,0.42266225814819336
0.0,20,5,3,0.4357892870903015
0.0,20,5,4,0.16049183905124664
0.1,1,5,0,0.4099026620388031
0.1,1,5,1,0.6451426148414612
0.1,1,5,2,0.6738038659095764
0.1,1,5,3,0.7917317152023315
0.1,1,5,4,0.6402145028114319
0.1,2,5,0,0.4302349388599396
0.1,2,5,1,0.6648772358894348
0.1,2,5,2,0.6816118359565735
0.1,2,5,3,0.7583961486816406
0.1,2,5,4,0.6954240202903748
0.1,3,5,0,0.4043852388858795
0.1,3,5,1,0.6206896305084229
0.1,3,5,2,0.6310981512069702
0.1,3,5,3,0.7021464109420776
0.1,3,5,4,0.6191481351852417
0.1,4,5,0,0.38333314657211304
0.1,4,5,1,0.570336639881134
0.1,4,5,2,0.5828394889831543
0.1,4,5,3,0.6410475373268127
0.1,4,5,4,0.537894070148468
0.1,5,5,0,0.36982256174087524
0.1,5,5,1,0.5344396829605103
0.1,5,5,2,0.5470156073570251
0.1,5,5,3,0.580983579158783
0.1,5,5,4,0.45733946561813354
0.1,6,5,0,0.3267847001552582
0.1,6,5,1,0.48028847575187683
0.1,6,5,2,0.5128397941589355
0.1,6,5,3,0.5421816110610962
0.1,6,5,4,0.4037554860115051
0.1,7,5,0,0.3227250277996063
0.1,7,5,1,0.4286704361438751
0.1,7,5,2,0.4816461503505707
0.1,7,5,3,0.5141132473945618
0.1,7,5,4,0.3529641628265381
0.1,8,5,0,0.2983664274215698
0.1,8,5,1,0.3953861594200134
0.1,8,5,2,0.4653203785419464
0.1,8,5,3,0.49013862013816833
0.1,8,5,4,0.3306342363357544
0.1,9,5,0,0.2787303626537323
0.1,9,5,1,0.3996274769306183
0.1,9,5,2,0.4528193175792694
0.1,9,5,3,0.462259978055954
0.1,9,5,4,0.2849598824977875
0.1,10,5,0,0.2632811665534973
0.1,10,5,1,0.36114805936813354
0.1,10,5,2,0.4498020112514496
0.1,10,5,3,0.44250449538230896
0.1,10,5,4,0.2834315299987793
0.1,11,5,0,0.25144439935684204
