mu,round,client_id,reconstructed_aggregate_alignment,loo_aggregate_alignment,peer_aggregate_magnitude
0.0,1,0,0.39165028335588165,0.2565019712345789,1.441734750149628
0.0,1,1,0.6175605016452044,0.4714149030505746,1.3506777861024906
0.0,1,2,0.6514854356842071,0.3889245378847707,1.2471716932204238
0.0,1,3,0.820169317332724,0.32209746285988644,0.9152454499017357
0.0,1,4,0.6356791406507122,0.5370233022631773,1.3859144954875897
0.0,2,0,0.4041220154138139,0.24719253326071755,0.868845640142127
0.0,2,1,0.6308899768071806,0.4764451380781828,0.8122144980567184
0.0,2,2,0.6547488452068668,0.3771960885624004,0.7511562740261732
0.0,2,3,0.7717992167026367,0.242426342810756,0.6032374590690187
0.0,2,4,0.6620269358366138,0.5655307860976929,0.8364115185725137
0.0,3,0,0.36573596169491224,0.15484103905817737,0.5296402072692109
0.0,3,1,0.558339332985616,0.35190116198140486,0.4982819105459831
0.0,3,2,0.5895152200873266,0.23017029586207316,0.466652674533836
0.0,3,3,0.6878678436215676,0.023649361529737945,0.40818100772715005
0.0,3,4,0.5277771792180131,0.3951169765867259,0.5198227949033202
0.0,4,0,0.3424305169178785,0.08289208704960285,0.38014146046713276
0.0,4,1,0.4925450349893031,0.23992633608290664,0.36146646064370197
0.0,4,2,0.5402341187175391,0.10489028487706167,0.34118925292721064
0.0,4,3,0.6166546224216622,-0.14457626892432401,0.3207909000821222
0.0,4,4,0.4257575569736522,0.25951901204769623,0.3777830614824269
0.0,5,0,0.32709517402502075,0.028938027137016174,0.3031250403938097
0.0,5,1,0.4552619418679275,0.16014518161669378,0.28921326324362867
0.0,5,2,0.5100247781873535,0.01480796870012614,0.2758282578556983
0.0,5,3,0.5595030365959272,-0.25639436186697095,0.2749427584034713
0.0,5,4,0.34345398061354016,0.14474454592933012,0.30433633469992577
0.0,6,0,0.27918895267462923,-0.044404507374695534,0.2650896532727256
0.0,6,1,0.4098304757520163,0.08938272132074183,0.25258047585529464
0.0,6,2,0.4914456609083094,-0.047798325237615326,0.24046684431106766
0.0,6,3,0.5373251965067112,-0.32826134795031464,0.24624361912597859
0.0,6,4,0.2960340652230099,0.07095253995359285,0.2640985961146946
0.0,7,0,0.2723684573721222,-0.07209477231456371,0.23800822372323666
0.0,7,1,0.36655189672010313,0.01963853539269522,0.229588698320657
0.0,7,2,0.4731775208693741,-0.09648101940477093,0.2183678250469881
0.0,7,3,0.5216133506186845,-0.37380736491049465,0.2269462129374972
0.0,7,4,0.26473535174215956,0.02591009106353117,0.23799380698814723
0.0,8,0,0.24737519201915906,-0.10901076343380238,0.22216584315175553
0.0,8,1,0.3445846044973557,-0.012408461642769791,0.21398306596760833
0.0,8,2,0.47570195031179824,-0.11824250456189969,0.20190145627613637
0.0,8,3,0.5057175297952425,-0.40143024561287766,0.21468900981301672
0.0,8,4,0.2611233704130205,0.0059767928446978775,0.2200219917363593
0.0,9,0,0.23821676644151707,-0.12789318277005446,0.20979433870769132
0.0,9,1,0.34982706530266033,-0.02398486012245594,0.20075991833662085
0.0,9,2,0.4662590385383396,-0.15412826234097945,0.1918182253061913
0.0,9,3,0.487494239323253,-0.42789706695628027,0.20696172237346133
0.0,9,4,0.23666300742485052,-0.027235114478284538,0.20823010337694187
0.0,10,0,0.22318057593137608,-0.15341045618069873,0.2005515596268524
0.0,10,1,0.3201087136411569,-0.06524089481331663,0.19301894110070186
0.0,10,2,0.46177242055243,-0.1734478132724407,0.18310699521836282
0.0,10,3,0.4816882373041355,-0.45385143478923146,0.1999436636416665
0.0,10,4,0.22788630217677916,-0.044093215623605374,0.19814878184791068
0.0,11,0,0.22206098971539068,-0.15973178223881,0.19370730794771127
0.0,11,1,0.338242742867231,-0.055427605354613455,0.18484150411384662
0.0,11,2,0.4587747495750188,-0.1910776754390079,0.1775310120943179
0.0,11,3,0.4682625273102756,-0.46309038794134955,0.1955144502512035
0.0,11,4,0.21051297944197409,-0.06777715360124019,0.19216379961858457
0.0,12,0,0.20231920060639436,-0.1902155936952816,0.18753384041159069
0.0,12,1,0.3036544219685582,-0.09366593066122486,0.17991189050667167
0.0,12,2,0.4532527400377362,-0.21264842570591716,0.17150026231110457
