round,test_loss,test_accuracy
0,2.313339,0.1267
1,1.7289,0.4145
2,1.3952,0.4559
3,1.1584,0.5157
4,0.968,0.5983
5,0.8517,0.6593
6,0.7761,0.6952
7,0.7135,0.7284
8,0.6698,0.7453
9,0.6463,0.7539
10,0.6143,0.7683
11,0.5983,0.7753
12,0.5739,0.7861
13,0.566,0.79
14,0.5492,0.794
15,0.536,0.8003
16,0.5205,0.8078
17,0.5173,0.8072
18,0.5003,0.8157
19,0.4931,0.8191
20,0.4829,0.8243
