mu,alpha,local_epochs,final_loss,final_accuracy,round_to_50,round_to_70,round_to_80,round_to_90,runtime_seconds
0.0,0.1,5,0.4072596945524215,0.866,2,3,7,,1277.8004962920004
0.001,0.1,5,0.4067310607433319,0.866,2,3,6,,1285.861327986
0.01,0.1,5,0.4026843631744384,0.8676,2,3,5,,1284.6839930369997
0.1,0.1,5,0.4055714220523834,0.8672,2,3,5,,1259.8805688920002
1.0,0.1,5,0.50657301030159,0.8373,2,5,8,,1266.7424247379995
