round,test_loss,test_accuracy,mu,alpha,local_epochs,runtime_seconds
0,2.3133392051696777,0.1267,0.01,0.1,5,1284.6839930369997
1,1.5530568044662476,0.4175,0.01,0.1,5,1284.6839930369997
2,1.0610098156929015,0.628,0.01,0.1,5,1284.6839930369997
3,0.8269421842575073,0.7076,0.01,0.1,5,1284.6839930369997
4,0.697559215259552,0.758,0.01,0.1,5,1284.6839930369997
5,0.5887655278205871,0.8,0.01,0.1,5,1284.6839930369997
6,0.5717664652824402,0.8053,0.01,0.1,5,1284.6839930369997
7,0.5102280241012573,0.8302,0.01,0.1,5,1284.6839930369997
8,0.4782411220550537,0.8415,0.01,0.1,5,1284.6839930369997
9,0.47326748752593994,0.844,0.01,0.1,5,1284.6839930369997
10,0.45676353266239167,0.8486,0.01,0.1,5,1284.6839930369997
11,0.4750101606607437,0.8419,0.01,0.1,5,1284.6839930369997
12,0.45090041027069094,0.8511,0.01,0.1,5,1284.6839930369997
13,0.44368485038280486,0.8547,0.01,0.1,5,1284.6839930369997
14,0.42937912373542786,0.8612,0.01,0.1,5,1284.6839930369997
15,0.41880408074855807,0.8627,0.01,0.1,5,1284.6839930369997
16,0.41718505852222443,0.8631,0.01,0.1,5,1284.6839930369997
17,0.4157579324007034,0.864,0.01,0.1,5,1284.6839930369997
18,0.394483504652977,0.8703,0.01,0.1,5,1284.6839930369997
19,0.39324875235557555,0.8718,0.01,0.1,5,1284.6839930369997
20,0.40268436317443845,0.8676,0.01,0.1,5,1284.6839930369997
