round,test_loss,test_accuracy
0,2.3133392051696777,0.1267
1,1.8265542430877686,0.2537
2,1.3847985618591307,0.5063
3,1.0855066394805908,0.6056
4,0.9146394384384156,0.6624
5,0.7943881684303283,0.7112
6,0.7157710274696351,0.7488
7,0.6707158803939819,0.7658
8,0.6309644852161408,0.7784
9,0.6131860156059266,0.7878
10,0.5643418132781982,0.8078
11,0.5375576751708985,0.8172
12,0.504621628522873,0.834
13,0.5170644564151764,0.8242
14,0.4899868128299713,0.8393
15,0.5233254102706909,0.82
16,0.49748308424949644,0.833
17,0.4748084270954132,0.843
18,0.4570752429962158,0.8517
19,0.4643847172260284,0.845
20,0.4580381471157074,0.85
