round,test_loss,test_accuracy
0,2.3133391918182373,0.1267
1,0.32103071036338804,0.9075
2,0.2749603817284107,0.9198
3,0.24248728101253508,0.9298
4,0.2142819895863533,0.9379
5,0.19254833721518516,0.9446
6,0.1721585298538208,0.9505
7,0.15747286560237408,0.9536
8,0.1458440136998892,0.9566
9,0.1364501450046897,0.9602
10,0.1283627652734518,0.9622
11,0.1206770733833313,0.9638
12,0.11526834206581116,0.9651
13,0.11083614304438233,0.9666
14,0.10609535862058402,0.9676
15,0.1028544623784721,0.9691
16,0.09943776779919863,0.9697
17,0.09692457389160991,0.9709
18,0.09443621545359493,0.9711
19,0.09212016512602568,0.9722
20,0.08978192781955004,0.9725
