round,test_loss,test_accuracy
0,2.3133391918182373,0.1267
1,0.3886573817253113,0.8956
2,0.31900326396226886,0.9075
3,0.29169495097398757,0.9151
4,0.27406297733187673,0.9201
5,0.2557620191276073,0.9273
6,0.24057615749835967,0.9303
7,0.2264227894604206,0.9357
8,0.2149359295964241,0.9383
9,0.20099976700544359,0.9415
10,0.19122991458773614,0.9448
11,0.17952886356711387,0.9484
12,0.17089778230786323,0.9511
13,0.16309486333727838,0.9518
14,0.15730639556348325,0.9542
15,0.15056706195175648,0.9559
16,0.14424667037129402,0.9573
17,0.13895897173434496,0.9592
18,0.13426955269426108,0.961
19,0.1302524326249957,0.9616
20,0.12640280392616987,0.9629
